Game,Random,Human,DQN,DDQN,Dueling DQN,Bootstrapped DQN (Max.),A3C FF,A3C LSTM,Prioritized Experience Replay
Alien,227.8,7127.7,570.2,1033.4,1486.5,2436.6,518.4,945.3,900.5
Amidar,5.8,1719.5,133.4,169.1,172.7,1272.5,263.9,173.0,218.4
Assault,222.4,742.0,3332.3,6060.8,3994.8,8047.1,5474.9,14497.9,7748.5
Asterix,210.0,8503.3,124.5,16837.0,15840.0,19713.2,22140.5,17244.5,31907.5
Asteroids,719.1,47388.7,697.1,1193.2,2035.4,1032.0,4474.5,5093.1,1654.0
Atlantis,12850.0,29028.1,76108.0,319688.0,445360.0,994500.0,911091.0,875822.0,593642.0
Bank Heist,14.2,753.1,176.3,886.0,1129.3,1208.0,970.1,932.8,816.8
Battle Zone,2360.0,37187.5,17560.0,24740.0,31320.0,38666.7,12950.0,20760.0,29100.0
Beam Rider,363.9,16926.5,8672.4,17417.2,14591.3,23429.8,22707.9,24622.2,26172.7
Bowling,23.1,160.7,41.2,69.6,65.7,60.2,35.1,41.8,65.8
Boxing,0.1,12.1,25.8,73.5,77.3,93.2,59.8,37.3,68.6
Breakout,1.7,30.5,303.9,368.9,411.6,855.0,681.9,766.8,371.6
Centipede,2090.9,12017.0,3773.1,3853.5,4881.0,4553.5,3755.8,1997.0,3421.9
Chopper Command,811.0,7387.8,3046.0,3495.0,3784.0,4100.0,7021.0,10150.0,6604.0
Crazy Climber,10780.5,35829.4,50992.0,113782.0,124566.0,137925.9,112646.0,138518.0,131086.0
Demon Attack,152.1,1971.0,12835.2,27510.0,56322.8,82610.0,113308.4,115201.9,73185.8
Double Dunk,-18.6,-16.4,-21.6,69803.4,-0.8,3.0,-0.1,0.1,2.7
Enduro,0.0,860.5,475.6,-0.3,2077.4,1591.0,-82.5,-82.5,1884.4
Fishing Derby,-19.7,-38.7,-2.3,1216.6,-4.1,26.0,18.8,22.6,9.2
Freeway,0.0,29.6,25.8,3.2,0.2,33.9,0.1,0.1,27.9
Frostbite,65.2,4334.7,157.4,28.8,2332.4,2181.4,190.5,197.6,2930.2
Gopher,257.6,2412.5,2731.8,1448.1,20051.4,17438.3,10022.5,17106.8,57783.8
Gravitar,173.0,3351.4,216.5,220.5,297.0,286.1,303.5,320.0,218.0
Hero,1027.0,30826.4,12952.5,14892.5,15207.9,21021.3,32464.1,28889.5,20506.4
Ice Hockey,-11.2,0.9,-3.8,-2.5,-1.3,-1.3,-2.8,-1.7,-1.0
James Bond,29.0,302.8,348.5,573.0,835.5,1663.5,541.0,613.0,3511.5
Kangaroo,52.0,3035.0,2696.0,11204.0,10334.0,14862.5,94.0,125.0,10241.0
Krull,1598.0,2665.5,3864.0,6796.1,8051.6,8627.9,5560.0,5911.4,7406.5
Kung Fu Master,258.5,22736.3,11875.0,30207.0,24288.0,36733.3,28819.0,40835.0,31244.0
Montezuma Revenge,0.0,4753.3,50.0,42.0,22.0,100.0,67.0,41.0,13.0
Ms Pacman,307.3,6951.6,763.5,1241.3,2250.6,2983.3,653.7,850.7,1824.6
Name This Game,2292.3,8049.0,5439.9,8960.3,11185.1,11501.1,10476.1,12093.7,11836.1
Pong,-20.7,14.6,16.2,19.1,18.8,20.9,5.6,10.7,18.9
Private Eye,24.9,69571.3,298.2,-575.5,292.6,1812.5,206.9,421.1,179.0
QBert,163.9,13455.0,4589.8,11020.8,14175.8,15092.7,15148.8,21307.5,11277.0
River Raid,1338.5,17118.0,4065.3,10838.4,16569.4,12845.0,12201.8,6591.9,18184.4
Road Runner,11.5,7845.0,9264.0,43156.0,58549.0,51500.0,34216.0,73949.0,56990.0
Robotank,2.2,11.9,58.5,59.1,62.0,66.6,32.8,2.6,55.4
Seaquest,68.4,42054.7,2793.9,14498.0,37361.6,9083.1,2355.4,1326.1,39096.7
Space Invaders,148.0,1668.7,1449.7,5993.1,5993.1,2893.0,15730.5,23846.0,9063.0
Star Gunner,664.0,10250.0,34081.0,58365.0,90804.0,55725.0,138218.0,164766.0,51959.0
Tennis,-23.8,-8.3,-2.3,-7.8,4.4,0.0,-6.3,-6.4,-2.0
Time Pilot,3568.0,5229.2,5640.0,6608.0,6601.0,9079.4,12679.0,27202.0,7448.0
Tutankham,11.4,167.6,32.4,92.2,48.0,214.8,156.3,144.2,33.6
Up N Down,533.4,11693.2,3311.3,19086.9,24759.2,26231.0,74705.7,105728.7,29443.7
Venture,0.0,1187.5,54.0,21.0,200.0,212.5,23.0,25.0,244.0
Video Pinball,0.0,17667.9,20228.1,367823.7,110976.2,811610.0,331628.1,470310.5,374886.9
Wizard Of Wor,563.5,4756.5,246.0,6201.0,7054.0,6804.7,17244.0,18082.0,7451.0
Zaxxon,32.5,9173.3,831.0,8593.0,10164.0,11491.7,24622.0,23519.0,9501.0
